Asteway's Autos|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|Truck|Black|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
20239|2020|Chevrolet|Corvette|Car|Red|15200|58995.00
77433|2015|Jeep|Grand Cherokee|SUV|Blue|89320|17950.00
11023|2022|Tesla|Model 3|Car|Black|12450|32999.00
44987|2010|Subaru|Outback|SUV|Green|134876|8450.00
22314|2019|Ram|1500|Truck|Silver|43210|27995.00
57321|2023|Toyota|Camry|Car|White|5321|25995.00
11894|2025|Hyundai|Ioniq 6|Car|Blue|104|41900.00
33478|2021|Kia|Telluride|SUV|Gray|15432|36995.00
19876|2020|Mazda|CX-5|SUV|Silver|28211|23950.00
